date,session,direction,entry,sl,tp,pnl,commission,equity,cummax,drawdown,year,month
2018-01-01,EU,SELL,13738.98,13800.0003,13670.0,-2.1801234015565307,0.1801234015565308,97.81987659844347,97.81987659844347,0.0,2018,2018-01
2018-01-02,NY,SELL,13549.4,13588.9803,13517.44,1.3410833167004483,0.2738614917016825,99.16095991514392,99.16095991514392,0.0,2018,2018-01
2018-01-02,NY,SELL,13549.4,13588.9803,13517.44,1.3410833167004483,0.2738614917016825,100.50204323184437,100.50204323184437,0.0,2018,2018-01
2018-01-03,EU,SELL,15189.09,15300.0103,15165.0,-2.109549577489423,0.10954957748942282,98.39249365435495,100.50204323184437,-0.02099011631657057,2018,2018-01
2018-01-03,NY,SELL,14646.03,14717.2303,14560.04,2.2508778193350687,0.16456144145460386,100.64337147369002,100.64337147369002,0.0,2018,2018-01
2018-01-03,NY,SELL,14646.03,14717.2303,14560.04,2.2508778193350687,0.16456144145460386,102.8942492930251,102.8942492930251,0.0,2018,2018-01
2018-01-04,NY,SELL,14351.32,14488.4503,14250.0,1.3939949376614682,0.08372369928454865,104.28824423068657,104.28824423068657,0.0,2018,2018-01
2018-01-04,NY,SELL,14351.32,14488.4503,14250.0,1.3939949376614682,0.08372369928454865,105.68223916834805,105.68223916834805,0.0,2018,2018-01
2018-01-05,EU,SELL,14899.04,14979.7803,14850.02,1.0666391876176013,0.14762432143551707,106.74887835596564,106.74887835596564,0.0,2018,2018-01
2018-01-05,EU,SELL,14899.04,14979.7803,14850.02,1.0666391876176013,0.14762432143551707,107.81551754358324,107.81551754358324,0.0,2018,2018-01
2018-01-07,NY,SELL,16544.68,16583.9003,16518.04,-2.337471768446435,0.3374717684464349,105.4780457751368,107.81551754358324,-0.021680290756861943,2018,2018-01
2018-01-08,EU,BUY,15800.0,15752.6897,15875.99,2.9452360268271804,0.267172264813375,108.42328180196398,108.42328180196398,0.0,2018,2018-01
2018-01-08,EU,BUY,15800.0,15752.6897,15875.99,2.9452360268271804,0.267172264813375,111.36851782879116,111.36851782879116,0.0,2018,2018-01
2018-01-08,NY,BUY,15300.0,15234.9997,15343.98,1.1649177003798366,0.18830682319927844,112.53343552917099,112.53343552917099,0.0,2018,2018-01
2018-01-08,NY,BUY,15300.0,15234.9997,15343.98,1.1649177003798366,0.18830682319927844,113.69835322955082,113.69835322955082,0.0,2018,2018-01
2018-01-09,EU,BUY,14950.0,14840.289700000001,14979.47,0.42821868138177727,0.10901437695458065,114.1265719109326,114.1265719109326,0.0,2018,2018-01
2018-01-09,EU,BUY,14950.0,14840.289700000001,14979.47,0.42821868138177727,0.10901437695458065,114.55479059231438,114.55479059231438,0.0,2018,2018-01
2018-01-09,NY,BUY,14682.6,14619.3097,14700.0,-2.185590524930359,0.18559052493035894,112.36920006738401,114.55479059231438,-0.0190789971648466,2018,2018-01
2018-01-10,NY,SELL,13735.56,13840.0003,13639.06,-2.105212719611108,0.10521271961110777,110.26398734777291,114.55479059231438,-0.03745634051928807,2018,2018-01
2018-01-11,NY,BUY,13610.14,13489.4997,13712.84,1.6123292796851705,0.09025269333713593,111.87631662745808,114.55479059231438,-0.023381597146719387,2018,2018-01
2018-01-11,NY,BUY,13610.14,13489.4997,13712.84,1.6123292796851705,0.09025269333713593,113.48864590714325,114.55479059231438,-0.009306853774150706,2018,2018-01
2018-01-14,EU,BUY,13840.0,13784.3897,13863.86,0.6590146070062737,0.1990998070501318,114.14766051414952,114.55479059231438,-0.0035540205351496617,2018,2018-01
2018-01-14,EU,BUY,13840.0,13784.3897,13863.86,0.6590146070062737,0.1990998070501318,114.80667512115579,114.80667512115579,0.0,2018,2018-01
2018-01-14,NY,SELL,12820.0,13058.8203,12600.0,1.7994450220521498,0.04294442306621349,116.60612014320795,116.60612014320795,0.0,2018,2018-01
2018-01-14,NY,SELL,12820.0,13058.8203,12600.0,1.7994450220521498,0.04294442306621349,118.4055651652601,118.4055651652601,0.0,2018,2018-01
2018-01-15,NY,BUY,13700.0,13570.6697,13832.27,1.9607160889598307,0.08474425559980941,120.36628125421993,120.36628125421993,0.0,2018,2018-01
2018-01-15,NY,BUY,13700.0,13570.6697,13832.27,1.9607160889598307,0.08474425559980941,122.32699734317976,122.32699734317976,0.0,2018,2018-01
2018-01-16,EU,BUY,13049.0,13006.699700000001,13107.44,2.5163131230748625,0.24678784784032864,124.84331046625462,124.84331046625462,0.0,2018,2018-01
2018-01-16,EU,BUY,13049.0,13006.699700000001,13107.44,2.5163131230748625,0.24678784784032864,127.35962358932949,127.35962358932949,0.0,2018,2018-01
2018-01-16,NY,SELL,11536.15,11719.9903,11444.0,0.9522997949851008,0.050200744885642634,128.31192338431458,128.31192338431458,0.0,2018,2018-01
2018-01-16,NY,SELL,11536.15,11719.9903,11444.0,0.9522997949851008,0.050200744885642634,129.26422317929968,129.26422317929968,0.0,2018,2018-01
2018-01-17,EU,BUY,10850.0,10704.9997,10870.12,0.2176547220936899,0.05986194511321714,129.48187790139337,129.48187790139337,0.0,2018,2018-01
2018-01-17,EU,BUY,10850.0,10704.9997,10870.12,0.2176547220936899,0.05986194511321714,129.69953262348707,129.69953262348707,0.0,2018,2018-01
2018-01-17,NY,BUY,10305.0,10100.1297,10333.01,-2.0402400933663882,0.04024009336638829,127.65929253012068,129.69953262348707,-0.01573051230098981,2018,2018-01
2018-01-18,EU,SELL,10942.07,11021.8603,10911.01,0.6688324771306613,0.1097082728101027,128.32812500725134,129.69953262348707,-0.010573728281788602,2018,2018-01
2018-01-18,EU,SELL,10942.07,11021.8603,10911.01,0.6688324771306613,0.1097082728101027,128.996957484382,129.69953262348707,-0.005416944262587503,2018,2018-01
2018-01-18,NY,SELL,11760.0,11878.8203,11452.0,5.105120926306389,0.07917838955128077,134.1020784106884,134.1020784106884,0.0,2018,2018-01
2018-01-18,NY,SELL,11760.0,11878.8203,11452.0,5.105120926306389,0.07917838955128077,139.2071993369948,139.2071993369948,0.0,2018,2018-01
2018-01-19,EU,BUY,11219.78,11162.3597,11369.0,-2.15631795723812,0.15631795723812025,137.05088137975667,139.2071993369948,-0.015489988790149211,2018,2018-01
2018-01-20,NY,BUY,12413.12,12360.0597,12430.0,0.44910232320582333,0.1871549161991133,137.4999837029625,139.2071993369948,-0.01226384585110019,2018,2018-01
2018-01-20,NY,BUY,12413.12,12360.0597,12430.0,0.44910232320582333,0.1871549161991133,137.94908602616835,139.2071993369948,-0.009037702912051169,2018,2018-01
2018-01-21,EU,SELL,11711.0,11826.970299999999,11659.0,0.8159951297875472,0.08078620129464248,138.7650811559559,139.2071993369948,-0.0031759720987461788,2018,2018-01
2018-01-21,EU,SELL,11711.0,11826.970299999999,11659.0,0.8159951297875472,0.08078620129464248,139.58107628574345,139.58107628574345,0.0,2018,2018-01
2018-01-21,NY,BUY,12109.93,12025.4397,12149.99,0.8336111482619829,0.11466338739476674,140.41468743400543,140.41468743400543,0.0,2018,2018-01
2018-01-21,NY,BUY,12109.93,12025.4397,12149.99,0.8336111482619829,0.11466338739476674,141.2482985822674,141.2482985822674,0.0,2018,2018-01
2018-01-22,EU,SELL,11580.82,11640.0003,11515.13,2.0634458426199433,0.15654966264111542,143.31174442488737,143.31174442488737,0.0,2018,2018-01
2018-01-22,EU,SELL,11580.82,11640.0003,11515.13,2.0634458426199433,0.15654966264111542,145.37519026750732,145.37519026750732,0.0,2018,2018-01
2018-01-22,NY,BUY,11250.0,11148.7997,11280.0,-2.0889325426900904,0.08893254269009047,143.28625772481723,145.37519026750732,-0.014369250618666146,2018,2018-01
2018-01-23,EU,BUY,10374.99,10279.2097,10389.98,-2.086656567164646,0.08665656716464627,141.19960115765258,145.37519026750732,-0.028722845364268616,2018,2018-01
2018-01-24,EU,BUY,10979.66,10922.2197,11027.97,1.5291750217181783,0.15291925703730602,142.72877617937075,145.37519026750732,-0.018204028371463215,2018,2018-01
